comments,candidate,cleaned_comments
are doing a press briefing! infact my Ghana youth bear in mind that the,Mahama,press briefing infact ghana youth bear mind
NEWSPAPERS: February 19:,Mahama,newspaper february
I am voting John,Mahama,voting john
couldn't provide 12hr,Mahama,provide hr
is bringing the,Mahama,bringing
Kofi Akpaloo shutdown,Mahama,kofi akpaloo shutdown
Prof what will the,Mahama,prof
TUC supports John,Mahama,tuc support john
Why NPP apparatchiks are having sleepless nights over JDMs,Mahama,npp apparatchik sleepless night jdms
"The big question is, should I vote for the",Mahama,big question vote
Hello Aunty,Mahama,hello aunty
Economist Dr Kobby Mensah teaching,Mahama,economist dr kobby mensah teaching
One of my friends just posted about the,Mahama,one friend posted
Nobody in your party including your party chairman has been able to explain your bogus,Mahama,nobody party including party chairman able explain bogus
"In another news.... 
  
  A concerned citizen of Ghana",Mahama,another news concerned citizen ghana
Another perspective from party affiliations which shows 20% of NPP voters support,Mahama,another perspective party affiliation show npp voter support
Waiting for your response,Mahama,waiting response
"Don't mind them, they had meetings last week and they told them should constantly distort anything the",Mahama,mind meeting last week told constantly distort anything
Attention Pls.....All,Mahama,attention pls
Ghanaians are not fools as u rightly said thats why a failure like,Mahama,ghanaians fool rightly said thats failure like
members are deficient in common sense for the useless ',Mahama,member deficient common sense useless
You are empty and bereft with ideas like John,Mahama,empty bereft idea like john
Oh ok so the,Mahama,oh ok
must sit around the drawing board and think through this their,Mahama,must sit around drawing board think
The desperation and frustration of the,Mahama,desperation frustration
See Felix Kwakue Ofosu Explanation too.....for Felix to struggle explaining dis bogus,Mahama,see felix kwakue ofosu explanation felix struggle explaining dis bogus
Bawumia's message was far inspiring than the John,Mahama,bawumia message far inspiring john
"Ah, it is not a joke anymore.",Mahama,ah joke anymore
A clear case of,Mahama,clear case
"Aahhh.. you can't read to understand right? Pls let somebody help you. 
  I'm very sure you guys had a meeting to constantly come on social media and be asking the",Mahama,aahhh read understand right pls let somebody help sure guy meeting constantly come social medium asking
you expect me to sleep? how? i want to engage in,Mahama,expect sleep want engage
Obviously Paul you rather don't understand the,Mahama,obviously paul rather understand
Nana Oye Lithur too try dey explain their bogus,Mahama,nana oye lithur try dey explain bogus
"Enoch be careful!
  The",Mahama,enoch careful
eiiiii,Mahama,eiiiii
"Asiedu Nketia once said, 100 days in office, we will cancel e-levy.",Mahama,asiedu nketia said day office cancel levy
Dr Bawumia has been exposed big time,Mahama,dr bawumia exposed big time
It is never an easy task to explain the,Mahama,never easy task explain
"The point The NPP and its apologists are missing is; can Bawumia be trusted to do anything he's promising to do? When he was making all those promises in 2016, didn't he know he was going to be just a mate?",Mahama,point npp apologist missing bawumia trusted anything promising making promise know going mate
"The 2024 election is between the future and the past, the problem solver and the clueless.",Mahama,election future past problem solver clueless
"Do you want to be insulted?
  Do you want to know how your grandfather's mum died?
  If yes, Just ask an",Mahama,want insulted want know grandfather mum died yes ask
Is it credibility that is going solve Ghana's problem. You want to make,Mahama,credibility going solve ghana problem want make
Bawumia took just 2hrs to trash,Mahama,bawumia took hr trash
You don't believe in Bawumia's false hopes but you want to believe in M,Mahama,believe bawumia false hope want believe
Whenever any,Mahama,whenever
"We are saddled with dirty debt caused by Bawumia,",Mahama,saddled dirty debt caused bawumia
"National address,like how? Who's in charge of our country right now?Why are u speaking like you're an opposition leader when you're the second most powerful man in Ghana?Am sorry whatever you said have already been said by John",Mahama,national address like charge country right speaking like opposition leader second powerful man ghana sorry whatever said already said john
But are you aware the,Mahama,aware
When first did you hear about,Mahama,first hear
"Gyimi , go and vote for ma",Mahama,gyimi go vote
Sammy go smoke,Mahama,sammy go smoke
has sat home taking tax payers money as salary for 8years but he still couldn't even draw a concrete plan for the country. All he has is,Mahama,sat home taking tax payer money salary year still even draw concrete plan country
You fail to promote,Mahama,fail promote
This is coming from someone who supports a failed and expired politician who can't even explain his ',Mahama,coming someone support failed expired politician even explain
You will respond on what basis? He wasn't talking to you,Mahama,respond basis talking
Bawumia's attempt to appropriate the,Mahama,bawumia attempt appropriate
I can see how Bawumia is pained by the,Mahama,see bawumia pained
"The Vice President Keeps repeating ""24 hours a day"" in his speech. 
  
  Is that an endorsement of John",Mahama,vice president keep repeating hour day speech endorsement john
"You can apply for a passport from your home 24hours a day 
  What do we need a",Mahama,apply passport home hour day need
Dr Bawumia rubbished,Mahama,dr bawumia rubbished
all Day,Mahama,day
"Forget it massa, as until no one campaign message from Bawumia so,so, toilet building. Only",Mahama,forget massa one campaign message bawumia toilet building
"Folks, join us at Ayawaso West Wuogon tomorrow 1:00pm sharp as we take to the streets the",Mahama,folk join u ayawaso west wuogon tomorrow pm sharp take street
Let the campaign songs floww,Mahama,let campaign song floww
de3 …. This too be Policy ? What's it impact on the,Mahama,de policy impact
Officially HE John Dramani,Mahama,officially john dramani
Victory,Mahama,victory
Opposes the Plan to Change date,Mahama,opposes plan change date
Make time at exactly 7pm for dissection of the topics below.,Mahama,make time exactly pm dissection topic
The youth needs something that is sustainable & not just riding bikes on the hot sun. Not surprising that they rejected the Okada idea which means the,Mahama,youth need something sustainable riding bike hot sun surprising rejected okada idea mean
Efficient political communication does a lot. How was,Mahama,efficient political communication lot
Massive turnout at 24-Hour,Mahama,massive turnout hour
you didn't interview the Npp to know whether they are for or against the proposed November 7. But quick to call Npp guys to debunk,Mahama,interview npp know whether proposed november quick call npp guy debunk
I heard John,Mahama,heard john
Ashanti Region now appreciating the work of HE Jihn,Mahama,ashanti region appreciating work jihn
Joined,Mahama,joined
During NPP presidential primaries Pres. Akufo Addo and the NPP said they can't rule the country but Ghanaians should vote massively for His excellency John,Mahama,npp presidential primary pres akufo addo npp said rule country ghanaians vote massively excellency john
We were joined by the Dep. National Youth Organizer of the,Mahama,joined dep national youth organizer
Please ooo is the honeymoon part of the,Mahama,please ooo honeymoon part
Hon Alan once applauded Mr,Mahama,hon alan applauded mr
what are the policy alternatives of the,Mahama,policy alternative
"24hr loot and share economy, government official one and the NDC thieves, never again",Mahama,hr loot share economy government official one ndc thief never
Honeymoon,Mahama,honeymoon
Upon all these what JM was able to achieve in 4 years of erstwhile,Mahama,upon jm able achieve year erstwhile
That makes democracy beautiful. U always get the chance to vote out non performing government out. But I will recommend u to take time and listen to John,Mahama,make democracy beautiful always get chance vote non performing government recommend take time listen john
: I'll institute a,Mahama,institute
Like play like play are we John,Mahama,like play like play john
The same Vice president Bawumia who said the,Mahama,vice president bawumia said
"We know they know the voters whom they normally refer to as ordinary Ghanaians will always follow their fav parties regardless of whether their leaders have policies in mind or not.
  Akuffo Addo just wanna distract",Mahama,know know voter normally refer ordinary ghanaians always follow fav party regardless whether leader policy mind akuffo addo wanna distract
TEIN-UMaT will embark on a campus outreach this January with the W/R Youth Wing to invite Freshers to join the,Mahama,tein umat embark campus outreach january youth wing invite fresher join
I'm hopeful that the youth will be gainfully employed under the,Mahama,hopeful youth gainfully employed
fetes,Mahama,fete
"Afa mpo ewue, remember",Mahama,afa mpo ewue remember
"Come to think of it, John",Mahama,come think john
Oh l pity some ghanaian is this,Mahama,oh pity ghanaian
Thank you for mentioning that name everyday....u think the,Mahama,thank mentioning name everyday think
What is the whole idea of a 24hour,Mahama,whole idea hour
Have you thought about the depth of a,Mahama,thought depth
Sense zero over hundred(0/100) in the whole interview. So wait ooo Mr Dumsor thief,Mahama,sense zero hundred whole interview wait ooo mr dumsor thief
"The Case of the two Christmas Presents:
  Exhibit A: Fmr Pres",Mahama,case two christmas present exhibit fmr pres
"Did say London and Syney, Not the whole country? Why then is",Mahama,say london syney whole country
"Gratitude, Ghana. Your resounding voice has been heard, and we the",Mahama,gratitude ghana resounding voice heard
"I'm not a magician to create jobs, but now you have the Devine power to create a",Mahama,magician create job devine power create
"All this propaganda or denigration of JM will stop at nothing. 
  JM and",Mahama,propaganda denigration jm stop nothing jm
: How Ghanaian farmer will benefit from the proposed policy by,Mahama,ghanaian farmer benefit proposed policy
"Celebrate the end of the year with a spectacular rally with our leader, the Nation Builder, H.E John Dramani",Mahama,celebrate end year spectacular rally leader nation builder john dramani
: kindly take notice of the below.,Mahama,kindly take notice
: Our leader John Dramani,Mahama,leader john dramani
The acceptance of his proposed,Mahama,acceptance proposed
It's only in NPP that Akufo Addo will miraculously send money into family and friends pockets for no work done while Nabco and NSS personnels cried for their 700 pay.,Mahama,npp akufo addo miraculously send money family friend pocket work done nabco nss personnel cried pay
See pot calling the kettle black.... The,Mahama,see pot calling kettle black
The work,Mahama,work
"Honesty, humility and love for Ghanaians.
  The records has shown that you and the",Mahama,honesty humility love ghanaians record shown
"Many pundits argue Dr. Bawumia was a big factor for NPP's win in 2016. If true, then it's fair to say he truly deserves his win as flag bearer for the NPP but, a big loss awaits him in 2024. John",Mahama,many pundit argue dr bawumia big factor npp win true fair say truly deserves win flag bearer npp big loss awaits john
"You are who? Those who elected useless and corrupt government like akuffo/npp and Bawumia are not victims but accomplices 
  2024 John",Mahama,elected useless corrupt government like akuffo npp bawumia victim accomplice john
Bawumia's liars exposed. Do not trust him.,Mahama,bawumia liar exposed trust
", leadership listen, God want a change for this nation, you will sit down and it will not happen,you think your",Mahama,leadership listen god want change nation sit happen think
You see how useless some you can be. It was you same Npp do for nothing bloggers who carved these billboards. You think,Mahama,see useless npp nothing blogger carved billboard think
That's d mark of an incompetent president. I hv never rated,Mahama,mark incompetent president hv never rated
Remember the person who proposed,Mahama,remember person proposed
is confused about their own proposal of the,Mahama,confused proposal
"Makaà Maka
  Menamekaye
  Meka
  
  Behold the",Mahama,maka maka menamekaye meka behold
Omanhene of Sefwi Wiawso to,Mahama,omanhene sefwi wiawso
I'll outline a comprehensive economic policy beyond the,Mahama,outline comprehensive economic policy beyond
See Jnr Sammy Gymafi's new advert on,Mahama,see jnr sammy gymafi new advert
A beautiful morning to remind you that H.E John Dramani,Mahama,beautiful morning remind john dramani
The Man with gray hair recently stated that the,Mahama,man gray hair recently stated
It took,Mahama,took
"JDM all the way, what a visionary president. He foresaw this way back in 2014 where it's was part of the 40 years development plan and restated it in the 2020",Mahama,jdm way visionary president foresaw way back part year development plan restated
As part of my,Mahama,part
"Explain, those that uses electricity will be given smart meters as",Mahama,explain us electricity given smart meter
"party is a Joke, Which Companies close down in the night becos of Security. The industries that can work 24/7 are already doing it.",Mahama,party joke company close night becos security industry work already
The ever hardworking National Youth Organiser of the,Mahama,ever hardworking national youth organiser
If u have no details of,Mahama,detail
1.Economic challenges– I will implement,Mahama,economic challenge implement
"de3, aside",Mahama,de aside
Change is the way to go. In this time of gross economic mismanagement and arrogance of power we need a meek man to calm the tension and turn the,Mahama,change way go time gross economic mismanagement arrogance power need meek man calm tension turn
Exactly what you've pretended to understand about,Mahama,exactly pretended understand
"Creative thinker my foot. If the fundamentals are weak, the exchange rate will expose you. Then it was Ghc3.80 to 1$, today 1$ is to Ghc 12. I will vote for John",Mahama,creative thinker foot fundamental weak exchange rate expose ghc today ghc vote john
"proposal is sound, it's just not novel; every",Mahama,proposal sound novel every
"1. The Lithium controversy is what has inspired this.
  2. Our economic challenges is what inspired '",Mahama,lithium controversy inspired economic challenge inspired
That's the game changer not the senseless,Mahama,game changer senseless
You keep exposing yourself with your leading statements. Why don't you get bold and say I speak for,Mahama,keep exposing leading statement get bold say speak
Indeed 2024 Manifesto for NPP is,Mahama,indeed manifesto npp
The NPP currently lacks best Alternative Thinkers.,Mahama,npp currently lack best alternative thinker
Me mmom de3 I support the,Mahama,mmom de support
To end brain drain?,Mahama,end brain drain
"Insha Allah, on today's date next year, Ghanaians will be going to their various polling stations to vote for Visionary John Dramani",Mahama,insha allah today date next year ghanaians going various polling station vote visionary john dramani
JDM 24hrs is a changer to our persistent unemployment challenges. Hotels are run 24hrs and so they shifting systems and has 3 face of employment.,Mahama,jdm hr changer persistent unemployment challenge hotel run hr shifting system face employment
I'm in love with the,Mahama,love
"Your own argument exposes you. So health coverage existed already abi, so Kuffour can't say he introduced health coverage, rather he introduced NHIS, an extended nationwide ""health coverage"". So",Mahama,argument expose health coverage existed already abi kuffour say introduced health coverage rather introduced nhis extended nationwide health coverage
People don't believe in,Mahama,people believe
Dr Bawumia is yet to announce his policies.,Mahama,dr bawumia yet announce policy
Why r u stealing,Mahama,stealing
Alan kwadwo kyeremanteng..former Npp presidential aspirant and now flagbearer for Movement for change endorses John,Mahama,alan kwadwo kyeremanteng former npp presidential aspirant flagbearer movement change endorses john
WATCH: Lawyer Kwame Adofo Speaks On John,Mahama,watch lawyer kwame adofo speaks john
WATCH: Nobody Can Rubbish John,Mahama,watch nobody rubbish john
"""We Hv then men""u are now copying",Mahama,hv men copying
So Can Dr Bawumia and NPP bring out policy that will Generate National Discussion like,Mahama,dr bawumia npp bring policy generate national discussion like
WATCH: The time schedule for,Mahama,watch time schedule
Your own Party,Mahama,party
So mobile money interoperability begun under President,Mahama,mobile money interoperability begun president
s team were clever to ride the,Mahama,team clever ride
You go explain taya... Policy that all the leadership of,Mahama,go explain taya policy leadership
3. Are we already not having a,Mahama,already
Now we know you stealing John,Mahama,know stealing john
has been in governance all his life but can't just get a single proper policy that benefit the ordinary Ghanaian regardless of Whr he or she is? Of what use is,Mahama,governance life get single proper policy benefit ordinary ghanaian regardless whr use
…..happy birthday to President John Dramani,Mahama,happy birthday president john dramani
Happy birthday to His Excellency John Dramani,Mahama,happy birthday excellency john dramani
No objective mind will try to link,Mahama,objective mind try link
"will never see this , neither the media commission.",Mahama,never see neither medium commission
Happy birthday Prez,Mahama,happy birthday prez
While NPP MPs are busy lobbying for project for their constituent the likes of,Mahama,npp mp busy lobbying project constituent like
He knows and understand what Bawumia said he just had to do his job as an,Mahama,know understand bawumia said job
JDM and,Mahama,jdm
Bawumia is the only Economist who is fighting the,Mahama,bawumia economist fighting
How can you compare a blue,Mahama,compare blue
Naa give it back to,Mahama,naa give back
"is making the assumed elite NPP party look very foolish and dvmb everyday on every issue. Like a whole minister says ""we can't fvck our wives in a",Mahama,making assumed elite npp party look foolish dvmb everyday every issue like whole minister say fvck wife
"Truth is, the NPP has nothing to offer GH",Mahama,truth npp nothing offer gh
"What the devil is in the name DEMOCRATS?
  ""We have passed laws to allow people to exercise their rights to marry who they love, to buy contraceptives (condoms)."" -Kamala Harris (D)-2023
  ""I will introduce",Mahama,devil name democrat passed law allow people exercise right marry love buy contraceptive condom kamala harris introduce
WATCH: John,Mahama,watch john
"is a proper Con man, someone who couldn't puts are light on for more than 6 hrs is Now promising a",Mahama,proper con man someone put light hr promising
"Unintelligible question, they are proposing electrical Car as means of transport how many megawatts of power do Akuffo /Bawumia government added to the National grid? 
  To you",Mahama,unintelligible question proposing electrical car mean transport many megawatt power akuffo bawumia government added national grid
fo) n gyimie.u think say we re stupid.if u ve,Mahama,fo gyimie think say stupid
Ghanaians should first know during,Mahama,ghanaians first know
Wo Kwasea u Dey here dey defend this,Mahama,wo kwasea dey dey defend
What's the guarantee that,Mahama,guarantee
WATCH: Hon. Haruna Yussif Comments On John,Mahama,watch hon haruna yussif comment john
communicators looking on at Dr. Mahamudu Bawumia's weak understanding of the,Mahama,communicator looking dr mahamudu bawumia weak understanding
"Let me tell you this for free, all those people complaining & criticizing this",Mahama,let tell free people complaining criticizing
"Don't take Bawumia seriously, he's a failure who doesn't understand the",Mahama,take bawumia seriously failure understand
Prof. Please explain the,Mahama,prof please explain
A walking contracdiction- that is what,Mahama,walking contracdiction
2/2 YES we know,Mahama,yes know
"They can give us a proper explanation, the leaders of",Mahama,give u proper explanation leader
Ghanaians worry,Mahama,ghanaians worry
The future is John,Mahama,future john
"Try this Mathematics too, when a dollar was 4 cedis",Mahama,try mathematics dollar cedi
"We applaud mediocre ideas in GH! 
  No wonder the nation continues to struggle to develop!
  
  What's so innovative about",Mahama,applaud mediocre idea gh wonder nation continues struggle develop innovative
Okay Christ this is the explanation of,Mahama,okay christ explanation
"As for Bawumia, his ineptitude and incompetence is legendary . Otherwise",Mahama,bawumia ineptitude incompetence legendary otherwise
Are these the only cities in Ghana that can 24hrs ? In any case they are doing this on their own with no policy backing.,Mahama,city ghana hr case policy backing
"No. But this is serious o. Don't you think the man requires a psychiatric assessment? Cos, eeiii. A whole veep, who claims to be an economist could not understand",Mahama,serious think man requires psychiatric assessment co eeiii whole veep claim economist could understand
It looks as though some youths of the NPP are even suffering in their own government .So the question is that..how will our life's be under the,Mahama,look though youth npp even suffering government question life
The NPP has failed on the simple subject of Job Creation. It is why John,Mahama,npp failed simple subject job creation john
Mr Ahiagbah has testified in this video that currently Ghana has no,Mahama,mr ahiagbah testified video currently ghana
So you're just bleeding over,Mahama,bleeding
The mileage this,Mahama,mileage
Denis is making sense. I've been trying to understand what the,Mahama,denis making sense trying understand
Have you listened to any conversation from,Mahama,listened conversation
"Eeiiii qualitative research and insights…someone said ""…maybe Bawumia needs a",Mahama,eeiiii qualitative research insight someone said maybe bawumia need
"Dear Ghanaian Youth,
  John",Mahama,dear ghanaian youth john
"Even if the 24hrs isn't already existent, wat makes u think that a man such as",Mahama,even hr already existent wat make think man
This was how we didn't scrutinise the 'Energgy for All' policy by Mr.,Mahama,scrutinise energgy policy mr
If Bawumia can't understand,Mahama,bawumia understand
Get ready to thrive day and night with John,Mahama,get ready thrive day night john
Unlocking the full potential of our,Mahama,unlocking full potential
Chairman Asiedu Nketiah explains,Mahama,chairman asiedu nketiah explains
"No! That's not what we're discussing, your Chairman says,",Mahama,discussing chairman say
"already exist Prof and am surprised that you are falling for this one too.
  
  How can a business practice which is already in a existence be put across as a policy proposal by",Mahama,already exist prof surprised falling one business practice already existence put across policy proposal
"This man is against us the youth getting employed. 
  John",Mahama,man u youth getting employed john
"So What's chronic liar Bawumia's ""Blue",Mahama,chronic liar bawumia blue
"In 2016, when Nana proposed his flagship free shs",Mahama,nana proposed flagship free shs
"By Xtending operational hrs of biz & essential services, investing in tech, providing & strengthening security & boosting infrastructure devt, we will unlock unprecedented job opportunities and revitalise our",Mahama,xtending operational hr biz essential service investing tech providing strengthening security boosting infrastructure devt unlock unprecedented job opportunity revitalise
Stop criticizing,Mahama,stop criticizing
Bro it's all good. We're all trying to build,Mahama,bro good trying build
It is rather Bawumia who flawed himself by dazing on stage. He understood,Mahama,rather bawumia flawed dazing stage understood
I wish the Vice President would have desisted from commenting on it and probably stole the idea. At least John,Mahama,wish vice president would desisted commenting probably stole idea least john
Please tell the Vice President and all NPP communicators to stop attacking Ex-President,Mahama,please tell vice president npp communicator stop attacking ex president
"The heat this evening is crazy bro. 
  You can't even keep our light on for 24 hours but you Bawumia dey jab",Mahama,heat evening crazy bro even keep light hour bawumia dey jab
The pain NPP watch as the visionary John,Mahama,pain npp watch visionary john
How on earth should an economist and a communicator debate?,Mahama,earth economist communicator debate
We don't hate it. We are only surprised that there's no learned person in,Mahama,hate surprised learned person
"Danny, your",Mahama,danny
There's only one politician throwing jabs & that's Bawumia. John,Mahama,one politician throwing jab bawumia john
"Elections are a full 12 months away. The way he always dey shout nu, Bawumia go faint ooo. John",Mahama,election full month away way always dey shout nu bawumia go faint ooo john
He is struggling to find his breath,Mahama,struggling find breath
"What he is saying is a defense mechanism, since Dr. Bawumia has cleared the main content of",Mahama,saying defense mechanism since dr bawumia cleared main content
"You lack insight and wisdom, what he is saying is defense mechanism, since Dr. Bawumia has cleared the main content of",Mahama,lack insight wisdom saying defense mechanism since dr bawumia cleared main content
Infact i pity,Mahama,infact pity
You don't have what it takes to understand the concept of,Mahama,take understand concept
Buhari never dey disappoint,Mahama,buhari never dey disappoint
"6am - 2pm
  2pm - 10pm
  10pm - 6am
  This is the working hours for economies/industries on the",Mahama,pm pm pm pm working hour economy industry
Since your party is trying to cheapen the,Mahama,since party trying cheapen
"prior to 2016 elections. Before you contemplate listening to this failed administration, think about the massive failure in their juicy and ill thought through policies. 
  In light of that, I can say that HE John Dramani",Mahama,prior election contemplate listening failed administration think massive failure juicy ill thought policy light say john dramani
What you guys know to talk about 23hr,Mahama,guy know talk hr
See this 'John' too. Today you're here saying Free SHS is not good. Please explain,Mahama,see john today saying free shs good please explain
Even the UK is thinking of launching the,Mahama,even uk thinking launching
is arguing,Mahama,arguing
Dr Bawumia's understanding of President John,Mahama,dr bawumia understanding president john
"So our kids now attend school in the night, as you explained",Mahama,kid attend school night explained
WATCH:,Mahama,watch
-Goofed-With-His-,Mahama,goofed
"Once again, that liar is at it again with his lies. From Incompetency",Mahama,liar lie incompetency
I don't get them. Even in the health services the 24hrs only give emergency services. The,Mahama,get even health service hr give emergency service
The UK is about to run a 24-hour/Night,Mahama,uk run hour night
Bawumia exposes,Mahama,bawumia expose
Vice President Dr. Mahamudu Bawumia has shredded into former President,Mahama,vice president dr mahamudu bawumia shredded former president
This is London. Even the UK is thinking of launching the,Mahama,london even uk thinking launching
s MTTD for his unrealistic,Mahama,mttd unrealistic
",we r gonna tell u straight in ur face like u deserve. U n I know how useless u have become. After 7 years,you're still irrelevant without mentioning John",Mahama,gonna tell straight ur face like deserve know useless become year still irrelevant without mentioning john
"In Ghana today, I can just pick my bag and walk to any GPRTU station at 2am and get a car to Kumasi, Takoradi, Cape Coast or Sunyani. They are working 24hrs.",Mahama,ghana today pick bag walk gprtu station get car kumasi takoradi cape coast sunyani working hr
Have you remove your political lens? Ghana where everyone is an opportunist. Ain't this same,Mahama,remove political lens ghana everyone opportunist
A Digital,Mahama,digital
"How manyd farmers can you support to farm 24/7. You guys take Ghanaians for fools. 
  24/7 ecobomy is already in place in some organisations, so we wont say it is not possible. It is. What is impossible is the",Mahama,manyd farmer support farm guy take ghanaians fool ecobomy already place organisation wont say possible impossible
How Bawumia disgraced himself by ATTACKING,Mahama,bawumia disgraced attacking
I'm shocked that a whole veep does not comprehend the,Mahama,shocked whole veep comprehend
"You people are really funny, as at now bawumia is yet to lay before us his plans for us and he's on tour bantering people's policies. You people are not serious one sei. 
  
  Your blue",Mahama,people really funny bawumia yet lay u plan u tour bantering people policy people serious one sei blue
"Bawumia is a joker!
  This man is attacking",Mahama,bawumia joker man attacking
I'm struggling to understand why NPP communicators are finding it difficult accepting the fact that,Mahama,struggling understand npp communicator finding difficult accepting fact
To have a comprehensive manifesto 'the People's Manifesto' and still invest into research to develop more ideas says a lot about how the,Mahama,comprehensive manifesto people manifesto still invest research develop idea say lot
Kantamanto is a,Mahama,kantamanto
Bawumia is still promising the youth of this country a digitalized,Mahama,bawumia still promising youth country digitalized
"Good then, how much priority does the",Mahama,good much priority
Vice President Dr. Mahamudu Bawumia says John,Mahama,vice president dr mahamudu bawumia say john
Bawumia in pain over,Mahama,bawumia pain
They dont have a message. The,Mahama,dont message
"Facts bro but the sad part is that people still go and listen to the nonsense Bawumia is saying hmm
  
  In this past 7yrs under this government eh just to mention few the fake promises and if you listen to what Bawumia was saying about",Mahama,fact bro sad part people still go listen nonsense bawumia saying hmm past yr government eh mention fake promise listen bawumia saying
This nigga going around making,Mahama,nigga going around making
See how a professor bleeding all because he's chosen to be used. John,Mahama,see professor bleeding chosen used john
himself doesn't understand what it means to operate a,Mahama,understand mean operate
Dr Bawumia hit the nail right on the head...John,Mahama,dr bawumia hit nail right head john
Bawumia Rubbishes,Mahama,bawumia rubbish
"Pt1
  Listen to why Ghana Medical Association is demanding for tax waivers 
  
  GMA President explains...",Mahama,pt listen ghana medical association demanding tax waiver gma president explains
What does Hotels manufacture as captured under hospitality in,Mahama,hotel manufacture captured hospitality
We've now turned Suame Margazine into farm land- Importer Godfred Baffoe Bonnie,Mahama,turned suame margazine farm land importer godfred baffoe bonnie
What the NPP hate to see. Bawumia doesn't stand a chance with,Mahama,npp hate see bawumia stand chance
"Hospitals, ECG, GWCL operate",Mahama,hospital ecg gwcl operate
It took john,Mahama,took john
Bawumiah saying,Mahama,bawumiah saying
Prof. are you the one who advised Mr,Mahama,prof one advised mr
WATCH: 2024 general elections:,Mahama,watch general election
"The product ""John",Mahama,product john
It's Amazing how,Mahama,amazing
Someone is more empty than John,Mahama,someone empty john
Our once revered institution is now full of miscreants recruited through foul means and displaying their true colours...We need a leader who'll purged the system and it's John,Mahama,revered institution full miscreant recruited foul mean displaying true colour need leader purged system john
Look at John Dramani,Mahama,look john dramani
"if Nana Addo did not become the worse President in Ghana's history,if Bawumia did not fail as head of EMT",Mahama,nana addo become worse president ghana history bawumia fail head emt
"No matter what you guys do, you can never move the conversation away from the",Mahama,matter guy never move conversation away
said he is going to implement a,Mahama,said going implement
"ECG, banks, NHIS renewal, other services already operate",Mahama,ecg bank nhis renewal service already operate
Those foot soldiers who consume anything shared on their platforms say John,Mahama,foot soldier consume anything shared platform say john
"Please, Your Excellency, consider in earnest e-learning as a cornerstone of the",Mahama,please excellency consider earnest learning cornerstone
should stop this elementary arguments about this,Mahama,stop elementary argument
Which people are going to work in his so-called,Mahama,people going work called
I heard about former president,Mahama,heard former president
always lies where is the light when the light goes off small their communication team will say Ghana is back to dumsor but telling as,Mahama,always lie light light go small communication team say ghana back dumsor telling
Flag bearer of the,Mahama,flag bearer
"Narrow and shallow mind. All what u mentioned were in operation your guys came to power. Digitalization started when u were not born. Digitalization kept improving as the world is moving forward. Bcoz u are lucking of ideas & visions, u can never understand",Mahama,narrow shallow mind mentioned operation guy came power digitalization started born digitalization kept improving world moving forward bcoz lucking idea vision never understand
Tell me just what motivates you to wish,Mahama,tell motivates wish
"When Akufo Addo conceived the idea of fshs, what did your",Mahama,akufo addo conceived idea fsh
Ahh!,Mahama,ahh
"Mr Jackson, all it requires is a Political Will.. 
  Even the US or Europe doesn't have a 100%",Mahama,mr jackson requires political even u europe
These so called experts are part of the problem. I'm not a,Mahama,called expert part problem
This is where policy formulation start from: is it a good thing to have,Mahama,policy formulation start good thing
We have a night life in December..no be today ooo... You never announced a policy on that until,Mahama,night life december today ooo never announced policy
How Ken Ofori Atta støle,Mahama,ken ofori atta st le
"A Muslim up north, a Christian down south. You have destroyed livelihoods and now playing on religion for votes. Kennedy Agyapong was talking about building factories, Prez",Mahama,muslim north christian south destroyed livelihood playing religion vote kennedy agyapong talking building factory prez
"It's about a year to elections. Here are your candidates.
  
  Alan Kyerematen: Great Transformational Plan (GTP)",Mahama,year election candidate alan kyerematen great transformational plan gtp
STILL EMPTY,Mahama,still empty
"So if I buy tomatoes before at 5pm, does it mean I will still go and buy the same tomatoes at 3am simply because it's a",Mahama,buy tomato pm mean still go buy tomato simply
Everybody is discussing,Mahama,everybody discussing
You have been trying everything to download the,Mahama,trying everything download
Where things ok under,Mahama,thing ok
I wonder what the incompetent,Mahama,wonder incompetent
I am totally endorsed PRESIDENT,Mahama,totally endorsed president
The learned and discerning in the society are embracing the,Mahama,learned discerning society embracing
"Oh ok, So our fathers who're farmers will be on the farm at 12am under",Mahama,oh ok father farmer farm
"Am glad , so now",Mahama,glad
"Let's be clear, the main PURPOSE of the",Mahama,let clear main purpose
You guys messed up the,Mahama,guy messed
Some concrete example of John,Mahama,concrete example john
"So you basically want to say, the",Mahama,basically want say
Madam Ellen Ama Daaku quizzes Mr John,Mahama,madam ellen ama daaku quiz mr john
Your man's policy states clearly about,Mahama,man policy state clearly
I must say this,Mahama,must say
Hey guys! Here are highlights of some benefits of the,Mahama,hey guy highlight benefit
Y'all are making it look like,Mahama,making look like
So why are y'all hyping it. Unless there's going to be an active open market at night. With that it depends if the people are going to patronize it. What does,Mahama,hyping unless going active open market night depends people going patronize
"Majority of people in Ghana just work from 8am to 5pm with peanuts salaries. 
  
  Most become crooks at workplaces to survive because there's no way of meaningfuly earning 2 salaries without being an entrepreneur.",Mahama,majority people ghana work pm peanut salary become crook workplace survive way meaningfuly earning salary without entrepreneur
For someone who wasn't a magician to create an 8 hour shift jobs just 8 years ago to turn around to promise a,Mahama,someone magician create hour shift job year ago turn around promise
Hundreds of thousands of graduates are unemployed simply because the public sector is chocked.,Mahama,hundred thousand graduate unemployed simply public sector chocked
